day,vehicle_name,name,type,emissions,fuel_consumption,travel_time,utility
0,car_0,person_0,car,77.01438835885799,331.05189964513977,358.0,779.3360866528145
0,car_1,person_1,car,77.90696122023081,334.8902319026299,407.0,878.0702480028127
0,car_2,person_2,car,98.289599627914,422.5045181002053,406.0,892.8326386714724
0,car_3,person_3,car,103.45688510523442,444.7160129372082,404.0,893.0821435229078
0,bus_0,person_4,bus,102.60521034283052,441.0660033098446,680.0,2590.7250003951035
0,car_4,person_5,car,108.69641237415135,467.23785940814435,403.0,895.3910456426865
0,bus_0,person_6,bus,102.60521034283052,441.0660033098446,680.0,1599.7589912236479
0,car_5,person_7,car,81.28666783589094,349.41905631345,462.0,990.8497631414542
0,bus_0,person_8,bus,102.60521034283052,441.0660033098446,680.0,2643.369386582635
0,car_6,person_9,car,102.20029485448026,439.316508191814,461.0,1006.0488855416262
0,bus_0,person_10,bus,102.60521034283052,441.0660033098446,680.0,3299.799063036631
0,car_7,person_11,car,107.89068562295235,463.77653742853175,460.0,1008.728583118616
0,car_8,person_12,car,114.11599523925653,490.53557361501845,459.0,1011.8481656407547
0,car_9,person_13,car,94.3222544981224,405.45269052640725,458.0,993.5700790385417
0,bus_0,person_14,bus,102.60521034283052,441.0660033098446,680.0,4022.1392797292397
0,bus_0,person_15,bus,102.60521034283052,441.0660033098446,680.0,1898.0879678013018
0,car_10,person_16,car,109.24615090926825,469.6022997985463,456.0,1001.8432479395251
0,bus_0,person_17,bus,102.60521034283052,441.0660033098446,680.0,3307.1432175060386
0,car_11,person_18,car,125.41169433748831,539.0898222499811,455.0,1013.1375838374928
0,car_12,person_19,car,125.30309601687587,538.622839255312,454.0,1011.0482609525862
0,bus_0,person_20,bus,102.60521034283052,441.0660033098446,680.0,2303.9001264539656
0,bus_0,person_21,bus,102.60521034283052,441.0660033098446,680.0,1959.7059219891141
0,car_13,person_22,car,131.4810497959737,565.1792794240107,452.0,1012.1289708547876
0,car_14,person_23,car,124.93175808736419,537.026930913672,451.0,1004.7428988622075
0,bus_0,person_24,bus,102.60521034283052,441.0660033098446,680.0,3689.2946202339695
0,car_15,person_25,car,118.31729428700571,508.5945076252921,449.0,995.3032352153998
0,car_16,person_26,car,96.21201138291755,413.5751830650417,449.0,977.124144421337
0,car_17,person_27,car,106.45361459836177,457.59841840860975,447.0,981.5466886798266
0,car_18,person_28,car,114.07745165069122,490.36952671462154,446.0,985.8164403289422
0,car_19,person_29,car,124.26264817079553,534.1506594624879,445.0,992.1926235450843
0,car_20,person_30,car,131.81980525609882,566.6352201774056,444.0,996.4075441413548
0,car_21,person_31,car,130.32649090316565,560.215731028853,442.0,991.1794252787469
0,bus_0,person_32,bus,102.60521034283052,441.0660033098446,680.0,880.481755156036
0,car_22,person_33,car,127.26933753490907,547.0746135678305,441.0,986.6652647850418
0,car_23,person_34,car,94.60859956516715,406.6830860984207,440.0,957.8055312399651
0,car_24,person_35,car,79.35947082909236,341.13531224873026,464.0,993.2648838332009
0,car_25,person_36,car,96.83581053611665,416.2571994429317,463.0,1005.6371952262782
0,bus_0,person_37,bus,102.60521034283052,441.0660033098446,680.0,4559.929195321272
0,car_26,person_38,car,104.0097996341,447.09404978969894,462.0,1009.5369535512775
0,bus_0,person_39,bus,102.60521034283052,441.0660033098446,680.0,1037.5195773484338
0,car_27,person_40,car,114.53133762736584,492.32144868165557,460.0,1014.1897774648071
0,car_28,person_41,car,122.27420364369425,525.6037298933318,459.0,1018.5573815638471
0,bus_0,person_42,bus,102.60521034283052,441.0660033098446,680.0,2580.740348548256
0,car_29,person_43,car,119.49555533707228,513.6593866707207,457.0,1012.2722316688403
0,car_30,person_44,car,129.20194285227925,555.3822794588194,455.0,1016.254642385551
0,car_31,person_45,car,128.51320125894858,552.4213796367657,454.0,1013.6882041022317
0,bus_0,person_46,bus,102.60521034283052,441.0660033098446,680.0,2777.145514927731
0,car_32,person_47,car,128.85680580809702,553.8985109504847,453.0,1011.9707912253349
0,car_33,person_48,car,136.21832456369262,585.542226926332,451.0,1014.0248293013212
