day,vehicle_name,name,type,emissions,fuel_consumption,travel_time,utility
0,car_0,person_0,car,770143.8835885798,331.05189964513977,358.0,385788.10732023977
0,bus_0,person_1,bus,1026052.1034283033,441.0660033098446,680.0,514626.7183808183
0,car_1,person_2,car,775878.3947217866,333.5184519872966,407.0,388753.3641201193
0,car_2,person_3,car,960054.460781011,412.686220984704,406.0,480839.436733616
0,car_3,person_4,car,1019951.2858230119,438.4326852169601,404.0,510783.86212784855
0,car_4,person_5,car,1104649.0589578769,474.839809437095,403.0,553130.7668988431
0,car_5,person_6,car,833478.9470503839,358.27966151154766,460.0,417659.6526650227
0,car_6,person_7,car,966733.4454357435,415.5584802704083,459.0,484284.9304971119
0,car_7,person_8,car,1028569.5296277856,442.13854794249335,458.0,515200.9858831667
0,bus_0,person_9,bus,1026052.1034283033,441.0660033098446,680.0,514626.7183808183
0,car_8,person_10,car,1133454.5005665252,487.2229762307904,457.0,567641.4938947507
0,bus_0,person_11,bus,1026052.1034283033,441.0660033098446,680.0,514626.7183808183
0,car_9,person_12,car,940485.7049620311,404.27601203156667,456.0,471155.05461902154
0,bus_0,person_13,bus,1026052.1034283033,441.0660033098446,680.0,514626.7183808183
0,car_10,person_14,car,1086903.674385099,467.21323970143,454.0,544360.0707991694
0,car_11,person_15,car,1224974.041556026,526.5627815575933,453.0,613393.2840594038
0,bus_0,person_16,bus,1026052.1034283033,441.0660033098446,680.0,514626.7183808183
0,car_12,person_17,car,1265848.3777396886,544.1323596418388,452.0,633828.4609360241
0,car_13,person_18,car,1297608.2795498949,557.7843375824478,450.0,649704.4186671162
0,bus_0,person_19,bus,1026052.1034283033,441.0660033098446,680.0,514626.7183808183
0,car_14,person_20,car,1265454.2099474766,543.9627718869114,449.0,633625.3769551242
0,car_15,person_21,car,1147052.6206261374,493.06777101013245,448.0,574422.5568469542
0,bus_0,person_22,bus,1026052.1034283033,441.0660033098446,680.0,514626.7183808183
0,car_16,person_23,car,951745.3040376059,409.1157528606073,447.0,476766.8565766794
0,bus_0,person_24,bus,1026052.1034283033,441.0660033098446,680.0,514626.7183808183
0,bus_0,person_25,bus,1026052.1034283033,441.0660033098446,680.0,514626.7183808183
0,car_17,person_26,car,1086869.1297927315,467.1982514363298,445.0,544324.7984954915
0,bus_0,person_27,bus,1026052.1034283033,441.0660033098446,680.0,514626.7183808183
0,bus_0,person_28,bus,1026052.1034283033,441.0660033098446,680.0,514626.7183808183
0,bus_0,person_29,bus,1026052.1034283033,441.0660033098446,680.0,514626.7183808183
0,bus_0,person_30,bus,1026052.1034283033,441.0660033098446,680.0,514626.7183808183
0,car_18,person_31,car,1112372.6844845917,478.16113881743115,444.0,557074.5813228652
0,bus_0,person_32,bus,1026052.1034283033,441.0660033098446,680.0,514626.7183808183
0,bus_0,person_33,bus,1026052.1034283033,441.0660033098446,680.0,514626.7183808183
0,car_19,person_34,car,1217547.0407834887,523.3700547838135,443.0,609659.7820767717
0,bus_0,person_35,bus,1026052.1034283033,441.0660033098446,680.0,514626.7183808183
0,car_20,person_36,car,1279546.2361675838,550.0204677738153,442.0,640657.3930940258
0,bus_0,person_37,bus,1026052.1034283033,441.0660033098446,680.0,514626.7183808183
0,car_21,person_38,car,1279352.2081267016,549.9366199715719,440.0,640556.3790316609
0,car_22,person_39,car,1223633.5231366674,525.9861483743484,439.0,612695.0245614079
0,car_23,person_40,car,926432.0607431388,398.23462719704656,438.0,464092.229488883
0,car_24,person_41,car,814537.747027914,350.13784309605,464.0,408197.04858287855
0,bus_0,person_42,bus,1026052.1034283033,441.0660033098446,680.0,514626.7183808183
0,car_25,person_43,car,981403.898028995,421.86451882774367,462.0,491626.1599467569
0,car_26,person_44,car,1098335.4661481187,472.12749811504943,461.0,550089.9691378084
0,bus_0,person_45,bus,1026052.1034283033,441.0660033098446,680.0,514626.7183808183
0,car_27,person_46,car,1138658.622198898,489.4599850022724,460.0,570249.5558294415
0,car_28,person_47,car,1230124.408044179,528.7766005443693,458.0,615978.4684103897
0,car_29,person_48,car,1230237.865264666,528.8251650113333,456.0,616031.1970449155
0,car_30,person_49,car,1318769.1190662435,566.8801816643886,455.0,660294.8429732126
0,car_31,person_50,car,1373603.1266053019,590.4507408373086,453.0,687707.8585280214
0,car_32,person_51,car,1334288.6546602908,573.5515329482708,452.0,668048.6141059119
0,bus_0,person_52,bus,1026052.1034283033,441.0660033098446,680.0,514626.7183808183
0,car_33,person_53,car,1411335.2829553226,606.6701845963972,451.0,706569.9448127536
0,car_34,person_54,car,1380807.3320627997,593.547593129814,450.0,691303.9628051964
0,bus_0,person_55,bus,1026052.1034283033,441.0660033098446,680.0,514626.7183808183
0,car_35,person_56,car,1362767.363080952,585.793065057082,449.0,682281.9744370086
0,car_36,person_57,car,1373056.3423698228,590.2162435740275,448.0,687424.4662930332
0,car_37,person_58,car,1395035.9568876512,599.6637196832494,446.0,698410.2782756855
0,car_38,person_59,car,1415723.163798725,608.5566110712244,445.0,708751.886177668
0,bus_0,person_60,bus,1026052.1034283033,441.0660033098446,680.0,514626.7183808183
0,bus_0,person_61,bus,1026052.1034283033,441.0660033098446,680.0,514626.7183808183
0,car_39,person_62,car,1075615.9410187772,462.3617700169223,445.0,538698.2016902736
0,bus_0,person_63,bus,1026052.1034283033,441.0660033098446,680.0,514626.7183808183
0,bus_0,person_64,bus,1026052.1034283033,441.0660033098446,680.0,514626.7183808183
0,bus_0,person_65,bus,1026052.1034283033,441.0660033098446,680.0,514626.7183808183
0,bus_0,person_66,bus,1026052.1034283033,441.0660033098446,680.0,514626.7183808183
0,bus_0,person_67,bus,1026052.1034283033,441.0660033098446,680.0,514626.7183808183
0,bus_0,person_68,bus,1026052.1034283033,441.0660033098446,680.0,514626.7183808183
0,car_40,person_69,car,1198764.449314004,515.2968609863628,443.0,600268.4823054326
0,bus_0,person_70,bus,1026052.1034283033,441.0660033098446,680.0,514626.7183808183
0,bus_1,person_71,bus,1032205.1897233479,443.7107391410501,681.0,517705.26152834063
0,car_41,person_72,car,1227580.667858318,527.6830662690046,441.0,614672.5977706921
0,car_42,person_73,car,1272502.615337057,546.9924696273923,440.0,637131.5811647633
0,car_43,person_74,car,1287328.3521062285,553.3653753612742,438.0,644540.4527358019
0,bus_1,person_75,bus,1032205.1897233479,443.7107391410501,681.0,517705.26152834063
0,car_44,person_76,car,1312890.0767677438,564.35318022771,437.0,657319.320560462
0,car_45,person_77,car,1309543.730548539,562.9149084824048,436.0,655644.1467317237
0,bus_1,person_78,bus,1032205.1897233479,443.7107391410501,681.0,517705.26152834063
0,car_46,person_79,car,1227113.404523291,527.4818479028952,435.0,614426.9660025694
0,car_47,person_80,car,916503.0744998968,393.9668028816718,434.0,459119.73423334985
0,bus_1,person_81,bus,1032205.1897233479,443.7107391410501,681.0,517705.26152834063
0,bus_1,person_82,bus,1032205.1897233479,443.7107391410501,681.0,517705.26152834063
0,car_48,person_83,car,769912.7443997567,330.95485317311113,438.0,385832.53767730494
0,car_49,person_84,car,798145.7424944866,343.0912255241912,450.0,399973.04279285605
0,car_50,person_85,car,828468.1194335576,356.12524789845537,449.0,415132.23777940276
0,bus_1,person_86,bus,1032205.1897233479,443.7107391410501,681.0,517705.26152834063
0,car_51,person_87,car,1041627.5903001279,447.7515658465894,448.0,521710.01902584685
0,car_52,person_88,car,1097079.4953287358,471.5872210123716,446.0,549431.9834579783
0,car_53,person_89,car,1179603.170259527,507.0600339245673,445.0,590691.8386597804
0,bus_1,person_90,bus,1032205.1897233479,443.7107391410501,681.0,517705.26152834063
0,car_54,person_91,car,1188935.2488192413,511.07115913345666,444.0,595355.8799452002
0,bus_1,person_92,bus,1032205.1897233479,443.7107391410501,681.0,517705.26152834063
0,car_55,person_93,car,1244636.8250814744,535.0143019205092,443.0,623204.6800478882
0,car_56,person_94,car,1034526.6504864938,444.699115798731,442.0,518147.5475928048
0,bus_1,person_95,bus,1032205.1897233479,443.7107391410501,681.0,517705.26152834063
0,car_57,person_96,car,1143674.4702171925,491.6159859329176,440.0,572717.4809165893
0,car_58,person_97,car,1182992.3994749647,508.5164412434399,439.0,592374.453995703
0,car_59,person_98,car,1209445.1851040006,519.8873099854617,438.0,605598.8524956553
0,bus_1,person_99,bus,1032205.1897233479,443.7107391410501,681.0,517705.26152834063
1,bus_0,person_0,bus,1019264.2921620231,438.1478353664013,678.0,511228.81274767825
1,bus_0,person_1,bus,1019264.2921620231,438.1478353664013,678.0,511228.81274767825
1,car_0,person_2,car,752391.463393647,323.4214671030786,374.0,376943.89340755704
1,bus_0,person_3,bus,1019264.2921620231,438.1478353664013,678.0,511228.81274767825
1,car_1,person_4,car,755706.852477383,324.84667029561956,386.0,378625.5886620266
1,bus_0,person_5,bus,1019264.2921620231,438.1478353664013,678.0,511228.81274767825
1,bus_0,person_6,bus,1019264.2921620231,438.1478353664013,678.0,511228.81274767825
1,car_2,person_7,car,781654.9509474975,336.00102937160653,406.0,391639.64347426343
1,car_3,person_8,car,803844.2926496564,345.5404220949362,433.0,402788.3190950393
