day,vehicle_name,name,type,emissions,fuel_consumption,travel_time,utility
0,bus_0,person_0,bus,102.60521034283052,441.0660033098446,680.0,926.4965926621758
0,car_0,person_1,car,77.01438835885799,331.05189964513977,358.0,779.3360866528145
0,car_1,person_2,car,77.6241324262289,333.6745446143199,407.0,877.8376570591885
0,car_2,person_3,car,97.70138616369753,419.9761434493758,406.0,892.348903840552
0,bus_0,person_4,bus,102.60521034283052,441.0660033098446,680.0,1012.6891777687605
0,car_3,person_5,car,101.90727677573182,438.0549746894226,404.0,891.8077614895726
0,bus_0,person_6,bus,102.60521034283052,441.0660033098446,680.0,962.0185872757504
0,bus_0,person_7,bus,102.60521034283052,441.0660033098446,680.0,1047.1751534204352
0,car_4,person_8,car,108.31002187841688,465.5770120645746,403.0,895.0732868440515
0,car_5,person_9,car,78.5173829690339,337.51508737546493,462.0,988.5723230376768
0,car_6,person_10,car,100.66141214406963,432.70133708242014,461.0,1004.7833063532163
0,bus_0,person_11,bus,102.60521034283052,441.0660033098446,680.0,883.3516664510472
0,car_7,person_12,car,104.84210991816704,450.67176776678315,460.0,1006.2214375415923
0,bus_0,person_13,bus,102.60521034283052,441.0660033098446,680.0,734.6359385047487
0,car_8,person_14,car,113.86709859590309,489.4654382142983,458.0,1009.643457164024
0,car_9,person_15,car,95.17150375678823,409.103133954322,458.0,994.2684869249683
0,car_10,person_16,car,106.91224457494606,459.5699187428314,456.0,999.9238661931854
0,car_11,person_17,car,124.92585399021401,537.0016769658015,455.0,1012.7380527675421
0,car_12,person_18,car,130.44216609349667,560.7130069580529,454.0,1015.2745585686024
0,car_13,person_19,car,133.23673600365177,572.7255995449658,452.0,1013.5727879676983
0,car_14,person_20,car,128.60581421881744,552.8194194882971,451.0,1007.764363571031
0,bus_0,person_21,bus,102.60521034283052,441.0660033098446,680.0,1288.0190866245473
0,car_15,person_22,car,121.16248942361901,520.8246285748559,449.0,997.6430918549237
0,car_16,person_23,car,97.88857314526487,420.78213231108,449.0,978.5029464959634
0,car_17,person_24,car,109.38835228298286,470.21335973003653,447.0,983.9601781212442
0,bus_0,person_25,bus,102.60521034283052,441.0660033098446,680.0,907.8797988421977
0,car_18,person_26,car,115.76580150638752,497.62708460165004,446.0,987.2049320983175
0,bus_0,person_27,bus,102.60521034283052,441.0660033098446,680.0,978.8346931503693
0,bus_0,person_28,bus,102.60521034283052,441.0660033098446,680.0,909.4932847167637
0,car_19,person_29,car,126.7274219757117,544.7452563156892,445.0,994.2196052115326
0,bus_0,person_30,bus,102.60521034283052,441.0660033098446,680.0,1125.7490115736398
0,bus_0,person_31,bus,102.60521034283052,441.0660033098446,680.0,1116.7660311328864
0,car_20,person_32,car,130.0856161024164,559.180837175928,443.0,992.9813708394029
0,bus_0,person_33,bus,102.60521034283052,441.0660033098446,680.0,896.9773373111274
0,car_21,person_34,car,129.77838135308764,557.8597340257279,442.0,990.7286707284735
0,bus_0,person_35,bus,102.60521034283052,441.0660033098446,680.0,981.634988582242
0,bus_0,person_36,bus,102.60521034283052,441.0660033098446,680.0,1071.5957485767854
0,car_22,person_37,car,128.10018653190053,550.6461639165685,441.0,987.348555559693
0,bus_0,person_38,bus,102.60521034283052,441.0660033098446,680.0,1204.6167683873196
0,car_23,person_39,car,93.56475590980043,402.1960834834949,440.0,956.9470842161624
0,bus_0,person_40,bus,102.60521034283052,441.0660033098446,680.0,1195.1241349153202
0,car_24,person_41,car,80.56279869549635,346.3079577307117,464.0,994.2544961775516
0,car_25,person_42,car,96.08125429449163,413.01362456419696,463.0,1005.0166489895606
0,bus_0,person_43,bus,102.60521034283052,441.0660033098446,680.0,1031.4622151413116
0,car_26,person_44,car,105.1486591530236,451.9899718148803,461.0,1008.4735774626278
0,car_27,person_45,car,110.4603039389881,474.82166554435344,460.0,1010.8417768853205
0,car_28,person_46,car,123.63835184019302,531.4673941838894,459.0,1019.6792304838882
0,bus_0,person_47,bus,102.60521034283052,441.0660033098446,680.0,1090.6489392431756
0,car_29,person_48,car,120.59944982799404,518.4041064165607,457.0,1013.180032895239
0,car_30,person_49,car,126.26147687845402,542.7420883734377,455.0,1013.8363950672348
0,car_31,person_50,car,129.5827837450931,557.0191846983786,454.0,1014.567830724925
0,car_32,person_51,car,129.7221105353899,557.6179339744309,453.0,1012.6824003157773
0,car_33,person_52,car,137.40858130565243,590.6589551511801,451.0,1015.0037122891647
0,bus_0,person_53,bus,102.60521034283052,441.0660033098446,680.0,1081.8378842520485
0,bus_0,person_54,bus,102.60521034283052,441.0660033098446,680.0,861.2233948327622
0,car_34,person_55,car,134.7750209006234,579.3384776723385,450.0,1010.8378962757371
0,bus_0,person_56,bus,102.60521034283052,441.0660033098446,680.0,1030.8730897588937
0,bus_0,person_57,bus,102.60521034283052,441.0660033098446,680.0,1096.7880301177424
0,car_35,person_58,car,134.24075618563617,577.0415965659902,449.0,1008.3984978352673
0,car_36,person_59,car,131.03691841000023,563.2700560791254,448.0,1003.7637134109345
0,bus_0,person_60,bus,102.60521034283052,441.0660033098446,680.0,1172.1751355439703
0,bus_0,person_61,bus,102.60521034283052,441.0660033098446,680.0,840.5877778160153
0,bus_0,person_62,bus,102.60521034283052,441.0660033098446,680.0,932.6035056588277
0,bus_0,person_63,bus,102.60521034283052,441.0660033098446,680.0,926.931880731593
0,car_37,person_64,car,137.13013854530772,589.4620205909669,447.0,1006.7747208169764
0,car_38,person_65,car,137.32234670645025,590.2880042009341,445.0,1002.9327736682951
0,car_39,person_66,car,103.25705663914596,443.85791768460547,445.0,974.9178721459184
0,car_40,person_67,car,117.36521220999647,504.5023503082787,444.0,984.5202823781192
0,bus_0,person_68,bus,102.60521034283052,441.0660033098446,680.0,977.6084415646791
0,car_41,person_69,car,118.62568386297119,509.9203504596559,442.0,981.5568682159598
0,car_42,person_70,car,123.701018993607,531.7354778724067,440.0,981.730670337234
0,car_43,person_71,car,129.29164266222148,555.7671824965099,439.0,984.3283600183489
0,car_44,person_72,car,125.37918898425914,538.9489125875472,438.0,979.1107629361956
0,car_45,person_73,car,130.96759950516474,562.9711653947281,436.0,979.7066371571871
0,car_46,person_74,car,121.61785213441279,522.7814415704553,435.0,970.0175341849905
0,car_47,person_75,car,87.80296195778433,377.4281189530992,435.0,942.2085899003747
0,car_48,person_76,car,82.12277504809992,353.01299176630204,437.0,941.5373619065225
0,car_49,person_77,car,79.85876099204853,343.28108879800027,449.0,963.6754621558742
0,car_50,person_78,car,81.20370388589814,349.06268008387485,449.0,964.7815529492398
0,car_51,person_79,car,92.29703902272526,396.7464068117815,447.0,969.9045000222463
0,car_52,person_80,car,105.86556151434809,455.07081599795845,446.0,979.0630919570209
0,car_53,person_81,car,114.04946019253713,490.2494210300266,445.0,983.7934366735205
