day,vehicle_name,name,type,emissions,fuel_consumption,travel_time,utility
0,bus_0,person_0,bus,2030400.8774960863,872.8024881909594,1360.0,1018830.8043965535
0,bus_0,person_1,bus,2030400.8774960863,872.8024881909594,1360.0,1018925.3979112362
0,bus_0,person_2,bus,2030400.8774960863,872.8024881909594,1360.0,1018992.1603128619
0,bus_0,person_3,bus,2030400.8774960863,872.8024881909594,1360.0,1019089.8445127021
0,car_0,person_4,car,1433992.601779601,616.4121822345617,713.0,718422.6090958917
0,car_1,person_5,car,1552275.0986901096,667.2591585579787,811.0,777759.8829746341
0,bus_0,person_6,bus,2030400.8774960863,872.8024881909594,1360.0,1019028.0914779238
0,car_2,person_7,car,1875389.8162114522,806.1491541986328,809.0,939313.3111803032
0,car_3,person_8,car,2020948.6706148398,868.7162897100085,808.0,1012090.7696655648
0,bus_0,person_9,bus,2030400.8774960863,872.8024881909594,1360.0,1019751.094328425
0,bus_0,person_10,bus,2030400.8774960863,872.8024881909594,1360.0,1019064.4683525027
0,car_4,person_11,car,2120584.6442688648,911.5452368820685,807.0,1061906.777907051
0,car_5,person_12,car,1609723.9188264487,691.9573477992355,921.0,806704.3053918983
0,car_6,person_13,car,1949321.5211097372,837.9326266512279,920.0,976501.179521182
0,car_7,person_14,car,2089064.6674590013,898.00054511245,919.0,1046370.7827297732
0,car_8,person_15,car,2323481.469926957,998.7644779102977,918.0,1163577.2343457176
0,bus_0,person_16,bus,2030400.8774960863,872.8024881909594,1360.0,1019331.1694887566
0,car_9,person_17,car,1940128.693351292,833.9808584536876,917.0,971898.7636660753
0,bus_0,person_18,bus,2030400.8774960863,872.8024881909594,1360.0,1019280.9969957004
0,bus_0,person_19,bus,2030400.8774960863,872.8024881909594,1360.0,1018978.1261896925
0,car_10,person_20,car,2186613.773750775,939.9311052767176,915.0,1095137.3568409402
0,bus_0,person_21,bus,2030400.8774960863,872.8024881909594,1360.0,1019594.6944851727
0,car_11,person_22,car,2303294.0505700395,990.0865332264293,914.0,1153475.5203282863
0,car_12,person_23,car,2477274.704013378,1064.8725756984127,913.0,1240463.884442977
0,bus_0,person_24,bus,2030400.8774960863,872.8024881909594,1360.0,1018878.8882584518
0,car_13,person_25,car,2561536.4171255236,1101.0920327107517,911.0,1282590.759108778
0,car_14,person_26,car,2606116.0882611335,1120.2547538472877,911.0,1304880.6042579436
0,bus_0,person_27,bus,2030400.8774960863,872.8024881909594,1360.0,1018556.646022663
