day,vehicle_name,name,type,emissions,fuel_consumption,travel_time,utility
0,bus_0,person_0,bus,1002493.54020392,430.938951979669,680.0,1004514.1338853149
0,bus_0,person_1,bus,1002493.54020392,430.938951979669,680.0,1004455.3869213152
0,car_0,person_2,car,770143.8835885798,331.05189964513977,358.0,770860.0491145296
0,car_1,person_3,car,779069.6122023072,334.8902319026299,407.0,779883.7796474232
0,bus_0,person_4,bus,1002493.54020392,430.938951979669,680.0,1004530.000762016
0,car_2,person_5,car,982336.9441684963,422.26421109706666,406.0,983149.1553006019
0,car_3,person_6,car,1032062.6220154632,443.638674576952,404.0,1032870.8438348005
0,car_4,person_7,car,1092216.932650428,469.4958076010558,403.0,1093023.167398332
0,bus_0,person_8,bus,1002493.54020392,430.938951979669,680.0,1005148.2459695995
0,car_5,person_9,car,820019.1323266109,352.4937939432213,462.0,820943.3085735078
0,car_6,person_10,car,1013683.7963880444,435.7403497158689,461.0,1014606.0142582193
0,car_7,person_11,car,1076502.3902469715,462.7428068187454,460.0,1077422.621618375
0,bus_0,person_12,bus,1002493.54020392,430.938951979669,680.0,1004955.2639577455
0,car_8,person_13,car,1157469.5219450344,497.5465288346398,459.0,1158387.7707182989
0,car_9,person_14,car,935698.7609156726,402.21843102309157,458.0,936614.9620248881
0,bus_0,person_15,bus,1002493.54020392,430.938951979669,680.0,1005355.142406955
0,car_10,person_16,car,1069891.9307066526,459.9007346766134,456.0,1070804.1606570198
0,car_11,person_17,car,1232679.8406702932,529.8751374031885,455.0,1233590.105607862
0,car_12,person_18,car,1245945.6282601329,535.5772790629662,454.0,1246853.8960487724
0,bus_0,person_19,bus,1002493.54020392,430.938951979669,680.0,1005092.3599631904
0,car_13,person_20,car,1294578.8304376309,556.482427361572,452.0,1295483.1086788445
0,car_14,person_21,car,1251549.1667827303,537.9858869426598,451.0,1252451.4357756737
0,car_15,person_22,car,1205398.6573771823,518.1483391317661,449.0,1206296.916451352
0,car_16,person_23,car,962079.9208985281,413.55790400524944,449.0,962978.1276774801
0,car_17,person_24,car,1085629.2698101138,466.66511178483324,447.0,1086523.5031426698
