day,vehicle_name,name,type,emissions,fuel_consumption,travel_time,utility
0,bus_0,person_0,bus,1026052.1034283033,441.0660033098446,680.0,515542.1310875689
0,bus_0,person_1,bus,1026052.1034283033,441.0660033098446,680.0,515017.7246609623
0,car_0,person_2,car,770143.8835885798,331.05189964513977,358.0,385787.9417942899
0,car_1,person_3,car,776433.7671242683,333.75722050049205,407.0,389030.8835621342
0,bus_0,person_4,bus,1026052.1034283033,441.0660033098446,680.0,515971.06532154104
0,car_2,person_5,car,976370.2409840332,419.69956213610624,406.0,488997.1204920166
0,bus_0,person_6,bus,1026052.1034283033,441.0660033098446,680.0,516524.5746924801
0,car_3,person_7,car,1014566.4215907946,436.1178910002785,404.0,508091.2107953973
0,car_4,person_8,car,1083506.5411240347,465.7516266438899,403.0,542559.2705620173
0,car_5,person_9,car,803662.2435415337,345.4626456091057,462.0,402755.12177076685
0,car_6,person_10,car,992946.9908975966,426.8265985099615,461.0,497395.4954487983
0,bus_0,person_11,bus,1026052.1034283033,441.0660033098446,680.0,515445.07474630064
0,car_7,person_12,car,1058566.721100785,455.0331520799738,460.0,530203.3605503925
0,bus_0,person_13,bus,1026052.1034283033,441.0660033098446,680.0,515492.6443840479
0,bus_0,person_14,bus,1026052.1034283033,441.0660033098446,680.0,516022.7048263183
0,car_8,person_15,car,1156700.180324623,497.2155591358475,458.0,579266.0901623114
0,bus_0,person_16,bus,1026052.1034283033,441.0660033098446,680.0,515873.5681857992
0,bus_0,person_17,bus,1026052.1034283033,441.0660033098446,680.0,514989.2475866119
0,car_9,person_18,car,980647.849419677,421.5399969839717,458.0,491239.9247098385
0,car_10,person_19,car,1075136.8228802357,462.15509425394566,456.0,538480.4114401179
0,bus_0,person_20,bus,1026052.1034283033,441.0660033098446,680.0,515883.10205764696
0,car_11,person_21,car,1215847.1422028586,522.6396418133966,455.0,608833.5711014293
0,bus_0,person_22,bus,1026052.1034283033,441.0660033098446,680.0,515101.3040882423
0,bus_0,person_23,bus,1026052.1034283033,441.0660033098446,680.0,515252.25814182195
0,car_12,person_24,car,1277860.340716391,549.2957738319154,454.0,639838.1703581956
0,car_13,person_25,car,1359890.3038644828,584.5566794241996,452.0,680849.1519322414
0,car_14,person_26,car,1275652.3091804306,548.3466250099829,452.0,638730.1545902153
0,car_15,person_27,car,1176970.2635132421,505.92834552786013,449.0,589383.1317566211
0,car_16,person_28,car,965457.6580658879,415.0101883451239,449.0,483626.82903294393
0,car_17,person_29,car,1077418.6095601118,463.1357792165836,447.0,539603.3047800559
0,bus_0,person_30,bus,1026052.1034283033,441.0660033098446,680.0,514976.7402248226
0,bus_0,person_31,bus,1026052.1034283033,441.0660033098446,680.0,515133.34994273353
0,car_18,person_32,car,1152320.4261942378,495.3329264180472,446.0,577052.2130971189
0,car_19,person_33,car,1248932.4256664282,536.8615813341331,445.0,625356.2128332141
0,bus_0,person_34,bus,1026052.1034283033,441.0660033098446,680.0,515391.02586854337
0,car_20,person_35,car,1292993.625809399,555.8008943025292,444.0,647384.8129046995
0,car_21,person_36,car,1301952.6693604123,559.6514465444149,442.0,651860.3346802061
0,bus_0,person_37,bus,1026052.1034283033,441.0660033098446,680.0,515254.9066752185
0,car_22,person_38,car,1215654.39969743,522.5564061212439,441.0,608709.199848715
