tripinfo_arrival;tripinfo_arrivalLane;tripinfo_arrivalPos;tripinfo_arrivalSpeed;tripinfo_depart;tripinfo_departDelay;tripinfo_departLane;tripinfo_departPos;tripinfo_departSpeed;tripinfo_devices;tripinfo_duration;tripinfo_id;tripinfo_rerouteNo;tripinfo_routeLength;tripinfo_speedFactor;tripinfo_stopTime;tripinfo_timeLoss;tripinfo_vType;tripinfo_vaporized;tripinfo_waitingCount;tripinfo_waitingTime
3023.00;end_private_0;1000.00;13.37;2584.00;544.00;start_private_0;5.10;0.00;tripinfo_car181;439.00;car181;0;4995.30;0.98;0.00;70.79;car;;0;0.00
3025.00;end_private_0;1000.00;13.10;2587.00;547.00;start_private_0;5.10;0.00;tripinfo_car182;438.00;car182;0;4995.30;0.97;0.00;66.05;car;;0;0.00
3068.00;end_private_0;1000.00;10.97;2590.00;550.00;start_private_0;5.10;0.00;tripinfo_car183;478.00;car183;0;4995.30;0.80;0.00;29.98;car;;0;0.00
3070.00;end_private_0;1000.00;13.74;2593.00;553.00;start_private_0;5.10;0.00;tripinfo_car184;477.00;car184;0;4995.30;1.00;0.00;117.08;car;;0;0.00
3071.00;end_private_0;1000.00;14.42;2596.00;556.00;start_private_0;5.10;0.00;tripinfo_car185;475.00;car185;0;4995.30;1.07;0.00;138.95;car;;0;0.00
3073.00;end_private_0;1000.00;14.37;2599.00;559.00;start_private_0;5.10;0.00;tripinfo_car186;474.00;car186;0;4995.30;1.13;0.00;154.34;car;;0;0.00
3075.00;end_private_0;1000.00;15.06;2602.00;562.00;start_private_0;5.10;0.00;tripinfo_car187;473.00;car187;0;4995.30;1.11;0.00;147.91;car;;0;0.00
3077.00;end_private_0;1000.00;12.58;2605.00;565.00;start_private_0;5.10;0.00;tripinfo_car188;472.00;car188;0;4995.30;0.92;0.00;82.53;car;;0;0.00
3079.00;end_private_0;1000.00;13.71;2608.00;568.00;start_private_0;5.10;0.00;tripinfo_car189;471.00;car189;0;4995.30;1.03;0.00;122.42;car;;0;0.00
3081.00;end_private_0;1000.00;12.25;2611.00;571.00;start_private_0;5.10;0.00;tripinfo_car190;470.00;car190;0;4995.30;0.94;0.00;87.32;car;;0;0.00
3082.00;end_private_0;1000.00;13.88;2614.00;574.00;start_private_0;5.10;0.00;tripinfo_car191;468.00;car191;0;4995.30;1.05;0.00;126.51;car;;0;0.00
3084.00;end_private_0;1000.00;12.85;2617.00;577.00;start_private_0;5.10;0.00;tripinfo_car192;467.00;car192;0;4995.30;0.97;0.00;94.99;car;;0;0.00
3086.00;end_private_0;1000.00;13.51;2621.00;581.00;start_private_0;5.10;0.00;tripinfo_car193;465.00;car193;0;4995.30;1.01;0.00;107.58;car;;0;0.00
3087.00;end_private_0;1000.00;13.21;2624.00;584.00;start_private_0;5.10;0.00;tripinfo_car194;463.00;car194;0;4995.30;1.01;0.00;105.52;car;;0;0.00
3090.00;end_private_0;1000.00;11.29;2627.00;587.00;start_private_0;5.10;0.00;tripinfo_car195;463.00;car195;0;4995.30;0.88;0.00;53.66;car;;0;0.00
3092.00;end_private_0;1000.00;14.29;2630.00;590.00;start_private_0;5.10;0.00;tripinfo_car196;462.00;car196;0;4995.30;1.05;0.00;119.75;car;;0;0.00
3093.00;end_private_0;1000.00;14.17;2633.00;593.00;start_private_0;5.10;0.00;tripinfo_car197;460.00;car197;0;4995.30;1.05;0.00;116.46;car;;0;0.00
